name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,brand,has_integrated_graphics,socket,price_is_predicted
Intel Core i5-750,69.0,4,2.66,2.66,Nehalem,95,,Intel,False,LGA1156,False
Intel Xeon E5-2697 V4,595.3654947619366,18,2.3,3.6,Broadwell,145,,Intel,False,LGA1150,True
AMD Athlon II X4 640,53.01,4,3.0,3.0,K10,95,,AMD,False,AM3,False
AMD Ryzen 9 3900,269.33763654732303,12,3.1,3.1,Zen 2,65,,AMD,False,AM4,True
Intel Core i3-8350K,135.0,4,4.0,4.0,Coffee Lake,91,Intel UHD Graphics 630,Intel,True,LGA1151,False
Intel Core i5-3330,114.17995853325645,4,3.0,3.0,Ivy Bridge,77,Intel HD Graphics 2500,Intel,True,LGA1155,True
Intel Core i7-3930K,298.98,6,3.2,3.2,Sandy Bridge,130,,Intel,False,LGA1155,False
AMD FX-4350,82.96,4,4.2,4.2,Piledriver,125,,AMD,False,FM2+,False
Intel Xeon E5-2697 V2,457.4842252480587,12,2.7,3.5,Ivy Bridge,130,,Intel,False,LGA1155,True
Intel Core i7-6900K,279.0,8,3.2,3.7,Broadwell,140,,Intel,False,LGA1150,False
Intel Xeon E5-2683 V4,329.95,16,2.1,3.0,Broadwell,120,,Intel,False,LGA1150,False
AMD EPYC 4364P,389.99,8,4.5,5.4,Zen 4,105,Radeon,AMD,True,AM5,False
Intel Xeon E5-1620 V2,224.97268602616336,4,3.7,3.9,Ivy Bridge,130,,Intel,False,LGA1155,True
AMD Ryzen 5 PRO 7645,225.48240310438612,6,3.8,5.1,Zen 4,65,Radeon,AMD,True,AM5,True
Intel Core i9-10940X,699.99,14,3.3,4.8,Cascade Lake,165,,Intel,False,LGA3647,False
AMD FX-8370,257.01,8,4.0,4.3,Piledriver,125,,AMD,False,FM2+,False
Intel Core i7-8700T,279.95,6,2.4,4.0,Coffee Lake,35,Intel UHD Graphics 630,Intel,True,LGA1151,False
AMD A8-7600,78.89,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),AMD,True,FM2+,False
Intel Xeon E5-2690 V4,921.510182404284,14,2.6,3.5,Broadwell,135,,Intel,False,LGA1150,True
Intel Core i5-8600K,189.19167734194968,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Core i5-13600,248.81821731664394,14,2.7,5.0,Raptor Lake,65,Intel UHD Graphics 770,Intel,True,LGA1700,True
Intel Celeron G5925,59.99,2,3.6,3.6,Comet Lake,58,Intel UHD Graphics 610,Intel,True,LGA1200,False
AMD EPYC 4584PX,494.8287310949371,16,4.2,5.7,Zen 4,120,Radeon,AMD,True,AM5,True
Intel Core i7-860,50.0,4,2.8,2.8,Nehalem,95,,Intel,False,LGA1156,False
Intel Core i7-6700T,160.98984081776536,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,Intel,True,LGA1151,True
Intel Xeon E5-2670 V3,346.50903356118573,12,2.3,3.1,Haswell,120,,Intel,False,LGA1150,True
Intel Core i3-4160,76.46812066858583,2,3.6,3.6,Haswell Refresh,54,Intel HD Graphics 4400,Intel,True,LGA1150,True
Intel Xeon E5-2699 V3,569.3944130303327,18,2.3,3.6,Haswell,145,,Intel,False,LGA1150,True
Intel Core i7-9700,335.01,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Pentium Gold G5400,115.69,2,3.7,3.7,Coffee Lake,58,Intel UHD Graphics 610,Intel,True,LGA1151,False
Intel Xeon E5-2680 V3,497.62565934693316,12,2.5,3.3,Haswell,120,,Intel,False,LGA1150,True
Intel Core i9-9980XE,1814.98,18,3.0,4.4,Skylake,165,,Intel,False,LGA1151,False
Intel Core i5-7400T,64.56,4,2.4,3.0,Kaby Lake,35,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Core i7-7740X,378.88,4,4.3,4.5,Kaby Lake,112,,Intel,False,LGA1151,False
Intel Core i7-9700F,279.0,8,3.0,4.7,Coffee Lake Refresh,65,,Intel,False,LGA1151,False
AMD Ryzen 7 PRO 7745,326.87103379887066,8,3.8,5.3,Zen 4,65,Radeon,AMD,True,AM5,True
Intel Core i9-7980XE,1249.95,18,2.6,4.4,Skylake,165,,Intel,False,LGA1151,False
Intel Core i7-990X Extreme Edition,235.54432202381307,6,3.467,3.467,Westmere,130,,Intel,False,LGA1156,True
Intel Core i7-3820,206.90472592848795,4,3.6,3.6,Sandy Bridge,130,,Intel,False,LGA1155,True
Intel Core i5-3450,95.0,4,3.1,3.1,Ivy Bridge,77,Intel HD Graphics 2500,Intel,True,LGA1155,False
Intel Xeon E5-2650,69.94,8,2.0,2.8,Sandy Bridge,95,,Intel,False,LGA1155,False
AMD FX-4300,112.4133699835833,4,3.8,3.8,Piledriver,95,,AMD,False,FM2+,True
AMD Ryzen 7 1700X,168.0652056724592,8,3.4,3.8,Zen,95,,AMD,False,AM4,True
Intel Core i5-9400,167.14361357163446,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,True,LGA1151,True
AMD FX-4350,55.05,4,4.2,4.2,Piledriver,125,,AMD,False,FM2+,False
Intel Xeon E5-1630 V4,298.95,4,3.7,4.0,Broadwell,140,,Intel,False,LGA1150,False
Intel Core 2 Quad Q9300,42.6,4,2.5,2.5,Yorkfield,95,,Intel,False,LGA775,False
Intel Xeon E5-2683 V4,1998.95,16,2.1,3.0,Broadwell,120,,Intel,False,LGA1150,False
Intel Core i3-3240,199.0,2,3.4,3.4,Ivy Bridge,55,Intel HD Graphics 2500,Intel,True,LGA1155,False
AMD A10-7700K,128.02,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),AMD,True,FM2+,False
Intel Core i5-9600KF,274.99,6,3.7,4.6,Coffee Lake Refresh,95,,Intel,False,LGA1151,False
AMD Phenom II X6 1090T Black,291.98,6,3.2,3.2,K10,125,,AMD,False,AM3,False
Intel Core i7-980X Extreme Edition,243.67932399393482,6,3.33,3.33,Westmere,130,,Intel,False,LGA1156,True
Intel Core 2 Quad Q6600,76.36110444010059,4,2.4,2.4,Core,100,,Intel,False,LGA775,True
Intel Xeon E5-1620 V3,111.0,4,3.5,3.6,Haswell,140,,Intel,False,LGA1150,False
Intel Core i7-4820K,198.0,4,3.7,3.9,Ivy Bridge,130,,Intel,False,LGA1155,False
Intel Xeon E5-2660 V3,149.94,10,2.6,3.3,Haswell,105,,Intel,False,LGA1150,False
Intel Core i9-7960X,462.16,16,2.8,4.4,Skylake,165,,Intel,False,LGA1151,False
AMD FX-6120,58.53,6,3.5,4.1,Bulldozer,95,,AMD,False,FM2,False
Intel Xeon E3-1230 V2,274.0,4,3.3,3.3,Ivy Bridge,69,,Intel,False,LGA1155,False
Intel Core i7-9800X,639.9735291773785,8,3.8,4.5,Skylake,165,,Intel,False,LGA1151,True
Intel Core i5-9500F,162.0,6,3.0,4.4,Coffee Lake Refresh,65,,Intel,False,LGA1151,False
Intel Core i5-8400T,113.37,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,Intel,True,LGA1151,False
Intel Xeon E3-1231 V3,264.2795425069876,4,3.4,3.8,Haswell Refresh,80,,Intel,False,LGA1150,True
Intel Core i7-3770S,119.26882920319112,4,3.1,3.1,Ivy Bridge,65,Intel HD Graphics 4000,Intel,True,LGA1155,True
Intel Xeon E5-2680,110.0,8,2.7,3.5,Sandy Bridge,130,,Intel,False,LGA1155,False
Intel Core i5-9500T,254.95381008220738,6,2.2,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Core i3-10100T,212.55909583009074,4,3.0,3.8,Comet Lake,35,Intel UHD Graphics 630,Intel,True,LGA1200,True
Intel Core i7-7700T,498.95,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Core i3-13100T,195.00645514452802,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,Intel,True,LGA1700,True
AMD FX-8350,192.49,8,4.0,4.0,Piledriver,125,,AMD,False,FM2+,False
AMD A8-6600K,92.86,4,3.9,3.9,Piledriver,100,Radeon HD 8570D,AMD,True,FM2+,False
Intel Pentium G3258,124.99,2,3.2,3.2,Haswell Refresh,53,Intel HD Graphics,Intel,True,LGA1150,False
Intel Core i5-650,126.86547714400855,2,3.2,3.2,Westmere,73,Intel HD Graphics,Intel,True,LGA1156,True
Intel Core i7-5775C,129.97745259829796,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200,Intel,True,LGA1150,True
AMD 5350,62.76282840265796,4,2.05,2.05,Jaguar,25,Radeon HD 8400,AMD,True,AM1,True
AMD Ryzen 9 3950X,342.171487480534,16,3.5,4.7,Zen 2,105,,AMD,False,AM4,True
Intel Core 2 Quad Q9650,96.14806764799073,4,3.0,3.0,Yorkfield,95,,Intel,False,LGA775,True
AMD Phenom II X6 1100T Black,162.54556125346787,6,3.3,3.3,K10,125,,AMD,False,AM3,True
Intel Core i7-4790S,125.03261687931698,4,3.2,4.0,Haswell Refresh,65,Intel HD Graphics 4000,Intel,True,LGA1150,True
Intel Core i5-7500,134.0809288467499,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,Intel,True,LGA1151,True
AMD A10-7850K,139.84,4,3.7,4.0,Steamroller,95,Radeon R7 (on-die),AMD,True,FM2+,False
Intel Celeron G3900,48.56,2,2.8,2.8,Skylake,51,Intel HD Graphics 510,Intel,True,LGA1151,False
AMD Athlon II 160u,107.59578245840635,1,1.8,1.8,K10,20,,AMD,False,AM3,True
Intel Xeon E5-2697 V3,881.3358471084056,14,2.6,3.6,Haswell,145,,Intel,False,LGA1150,True
AMD FX-8320,106.55,8,3.5,3.5,Piledriver,125,,AMD,False,FM2+,False
Intel Core i7-4770K,300.0,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,Intel,True,LGA1150,False
Intel Xeon E3-1270 V3,410.0,4,3.5,3.9,Haswell,80,,Intel,False,LGA1150,False
Intel Core i5-6402P,118.66,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,Intel,True,LGA1151,False
Intel Core 2 Quad Q9550,52.55,4,2.83,2.83,Yorkfield,95,,Intel,False,LGA775,False
Intel Core 2 Duo E7500,149.0,2,2.93,2.93,Wolfdale,65,,Intel,False,LGA775,False
AMD FX-6300,62.51,6,3.5,3.5,Piledriver,95,,AMD,False,FM2+,False
Intel Core i7-950,84.15,4,3.06,3.06,Nehalem,130,,Intel,False,LGA1156,False
AMD A10-6800K,113.30937259971601,4,4.1,4.1,Piledriver,100,Radeon HD 8670D,AMD,True,FM2+,True
Intel Xeon E5-2695 V4,648.5275285018276,18,2.1,3.3,Broadwell,120,,Intel,False,LGA1150,True
Intel Core i7-3970X Extreme Edition,175.0,6,3.5,3.5,Sandy Bridge,150,,Intel,False,LGA1155,False
Intel Core i3-8100,120.32,4,3.6,3.6,Coffee Lake,65,Intel UHD Graphics 630,Intel,True,LGA1151,False
AMD A10-9700,127.71,4,3.5,3.8,Excavator,65,Radeon R7 (on-die),AMD,True,FM2+,False
Intel Core i5-4570S,85.63537746333557,4,2.9,2.9,Haswell,65,Intel HD Graphics 4600,Intel,True,LGA1150,True
AMD A8-7680,86.58222361722659,4,3.5,3.8,Puma+,65,Radeon R7 (on-die),AMD,True,AM1,True
Intel Core i3-10300,130.15121266907138,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,Intel,True,LGA1200,True
Intel Core i9-9900X,579.99,10,3.5,4.4,Skylake,165,,Intel,False,LGA1151,False
Intel Core i5-10600K,278.6139780255749,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,Intel,True,LGA1200,True
Intel Core i5-4690,139.40794644623253,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,Intel,True,LGA1150,True
AMD Phenom II X4 820,52.64,4,2.8,2.8,K10,95,,AMD,False,AM3,False
Intel Core i7-5820K,429.95,6,3.3,3.6,Haswell,140,,Intel,False,LGA1150,False
Intel Core i5-7400,184.6,4,3.0,3.5,Kaby Lake,65,Intel HD Graphics 630,Intel,True,LGA1151,False
AMD Phenom II X4 965 Black,124.83988387461608,4,3.4,3.4,K10,125,,AMD,False,AM3,True
Intel Core 2 Extreme QX9770,559.8946329044621,4,3.2,3.2,Yorkfield,136,,Intel,False,LGA775,True
Intel Core i5-6500T,168.79067270500968,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,Intel,True,LGA1151,True
Intel Core i7-870,98.81316177154253,4,2.93,2.93,Nehalem,95,,Intel,False,LGA1156,True
Intel Core i5-6500T,229.95,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,Intel,True,LGA1151,False
Intel Core i3-6300,99.99,2,3.8,3.8,Skylake,51,Intel HD Graphics 530,Intel,True,LGA1151,False
Intel Xeon E5-2640 V4,172.70810700446134,10,2.4,3.4,Broadwell,90,,Intel,False,LGA1150,True
Intel Core i7-3960X Extreme Edition,320.0,6,3.3,3.3,Sandy Bridge,130,,Intel,False,LGA1155,False
Intel Xeon E5-2680 V2,198.68460339756865,10,2.8,3.6,Ivy Bridge,115,,Intel,False,LGA1155,True
AMD A10-7800,89.65160753957542,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die),AMD,True,FM2+,True
Intel Core i7-10700K Avengers Collector's Edition,741.0,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,Intel,True,LGA1200,False
Intel Core i5-3550,299.0,4,3.3,3.3,Ivy Bridge,77,Intel HD Graphics 2500,Intel,True,LGA1155,False
Intel Core i3-7350K,115.0,2,4.2,4.2,Kaby Lake,60,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Xeon E5-2630,47.66,6,2.3,2.3,Sandy Bridge,95,,Intel,False,LGA1155,False
AMD Athlon X4 860K,116.98614818944971,4,3.7,4.0,Steamroller,95,,AMD,False,FM2+,True
Intel Pentium G4600,82.50313482133623,2,3.6,3.6,Kaby Lake,51,Intel HD Graphics 630,Intel,True,LGA1151,True
Intel Xeon E-2288G,431.4336182730055,8,3.7,5.0,Coffee Lake Refresh,95,Intel HD Graphics P630,Intel,True,LGA1151,True
Intel Xeon E5-2695 V3,531.3340682681463,14,2.3,3.3,Haswell,120,,Intel,False,LGA1150,True
Intel Core i7-7740X,209.95,4,4.3,4.5,Kaby Lake,112,,Intel,False,LGA1151,False
Intel Pentium Gold G6405,94.99,2,4.1,4.1,Comet Lake,58,Intel UHD Graphics 610,Intel,True,LGA1200,False
Intel Core i5-2320,89.92610897047548,4,3.0,3.0,Sandy Bridge,95,Intel HD Graphics 2000,Intel,True,LGA1155,True
Intel Core i5-4590S,137.14700652989828,4,3.0,3.7,Haswell Refresh,65,Intel HD Graphics 4000,Intel,True,LGA1150,True
Intel Core i3-7100,76.77,2,3.9,3.9,Kaby Lake,51,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Core i3-9100T,228.52104434017053,4,3.1,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Core i5-760,84.70082450308578,4,2.8,2.8,Nehalem,95,,Intel,False,LGA1156,True
Intel Pentium G645,40.99,2,2.9,2.9,Sandy Bridge,65,Intel HD Graphics 2500,Intel,True,LGA1155,False
Intel Xeon E3-1240 V2,400.0,4,3.4,3.4,Ivy Bridge,69,,Intel,False,LGA1155,False
Intel Core i3-7320,59.0,2,4.1,4.1,Kaby Lake,51,Intel HD Graphics 630,Intel,True,LGA1151,False
Intel Xeon E5-1620 V4,232.12,4,3.5,3.8,Broadwell,140,,Intel,False,LGA1150,False
Intel Core i3-10320,120.0,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,Intel,True,LGA1200,False
AMD FX-4100,84.56550206334624,4,3.6,3.6,Bulldozer,95,,AMD,False,FM2,True
Intel Xeon E3-1240L V5,180.75077484271378,4,2.1,3.2,Skylake,25,,Intel,False,LGA1151,True
Intel Xeon E3-1245 V6,120.0,4,3.7,4.1,Kaby Lake,73,Intel HD Graphics P630,Intel,True,LGA1151,False
Intel Xeon E5-1660 V3,204.44,8,3.0,3.5,Haswell,140,,Intel,False,LGA1150,False
Intel Celeron G3930,29.0,2,2.9,2.9,Kaby Lake,51,Intel HD Graphics 610,Intel,True,LGA1151,False
Intel Core i3-2120T,40.0,2,2.6,2.6,Sandy Bridge,35,Intel HD Graphics 2000,Intel,True,LGA1155,False
Intel Core i7-4771,144.55409719866395,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,Intel,True,LGA1150,True
AMD A8-7650K,123.86626888387883,4,3.3,3.7,Steamroller,95,Radeon R7 (on-die),AMD,True,FM2+,True
Intel Core i5-7600K,168.4190991064,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,Intel,True,LGA1151,True
Intel Core i9-9900T,317.03112021831464,8,2.1,4.4,Coffee Lake Refresh,35,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Core i5-3470S,89.3610471856115,4,2.9,2.9,Ivy Bridge,65,Intel HD Graphics 2500,Intel,True,LGA1155,True
Intel Core i9-10850KA Avengers Limited Edition,392.69960115215207,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,Intel,True,LGA1200,True
AMD FX-8320E,155.6597502721493,8,3.2,4.0,Piledriver,95,,AMD,False,FM2+,True
Intel Xeon E5-1650 V3,248.9347632067812,6,3.5,3.8,Haswell,140,,Intel,False,LGA1150,True
Intel Celeron G4900,48.59,2,3.1,3.1,Coffee Lake,65,Intel UHD Graphics 610,Intel,True,LGA1151,False
Intel Xeon E-2286G,627.61,6,4.0,4.9,Coffee Lake Refresh,95,Intel HD Graphics P630,Intel,True,LGA1151,False
Intel Core i7-960,150.0,4,3.2,3.2,Nehalem,130,,Intel,False,LGA1156,False
Intel Xeon E3-1230 V3,309.0,4,3.3,3.7,Haswell,80,,Intel,False,LGA1150,False
Intel Xeon E3-1241 V3,298.0,4,3.5,3.9,Haswell Refresh,80,,Intel,False,LGA1150,False
Intel Core i9-9960X,999.99,16,3.1,4.4,Skylake,165,,Intel,False,LGA1151,False
AMD Phenom II X6 1055T,199.99,6,2.8,2.8,K10,125,,AMD,False,AM3,False
Intel Pentium G3220,60.16359636392321,2,3.0,3.0,Haswell,54,Intel HD Graphics,Intel,True,LGA1150,True
AMD A6-7400K,89.98,2,3.5,3.9,Steamroller,65,Radeon R5 (on die),AMD,True,FM2+,False
Intel Core i7-2600S,99.99,4,2.8,2.8,Sandy Bridge,65,Intel HD Graphics 2000,Intel,True,LGA1155,False
Intel Celeron 440,49.99,1,2.0,2.0,Core,35,,Intel,False,LGA775,False
Intel Core i3-3250,90.0,2,3.5,3.5,Ivy Bridge,55,Intel HD Graphics 2500,Intel,True,LGA1155,False
Intel Core i9-9900,402.6942361071078,8,3.1,5.0,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Xeon E5-2620 V3,127.98,6,2.4,3.2,Haswell,85,,Intel,False,LGA1150,False
Intel Xeon E5-2630 V2,488.88,6,2.6,3.1,Ivy Bridge,80,,Intel,False,LGA1155,False
Intel Xeon E5-2660 V4,399.0,14,2.0,3.2,Broadwell,105,,Intel,False,LGA1150,False
Intel Core i5-8500,169.07021423905246,6,3.0,4.1,Coffee Lake,65,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Pentium G2020,34.99,2,2.9,2.9,Ivy Bridge,55,Intel HD Graphics,Intel,True,LGA1155,False
Intel Core i5-3350P,141.43991357173093,4,3.1,3.1,Ivy Bridge,69,,Intel,False,LGA1155,True
Intel Xeon E5-2667 V2,285.5110225044411,8,3.3,4.0,Ivy Bridge,130,,Intel,False,LGA1155,True
Intel Core i5-9500,182.3539663661379,6,3.0,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,True,LGA1151,True
Intel Core 2 Extreme QX9775,1298.0,4,3.2,3.2,Yorkfield,150,,Intel,False,LGA775,False
AMD A10-6700,102.76,4,3.7,3.7,Piledriver,65,Radeon HD 8670D,AMD,True,FM2+,False
AMD Athlon 220GE,86.2410822412788,2,3.4,3.4,Zen,35,Radeon Vega 3,AMD,True,AM4,True
Intel Core i3-9350KF,136.06,4,4.0,4.6,Coffee Lake Refresh,91,,Intel,False,LGA1151,False
Intel Core i7-7800X,389.95,6,3.5,4.0,Skylake,140,,Intel,False,LGA1151,False
